time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-03-06T10:30:00.000Z","LatLng(39.139, -122.219)","0.2234713","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-14T10:30:00.000Z","LatLng(39.139, -122.219)","0.2370104","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-22T10:30:00.000Z","LatLng(39.139, -122.219)","0.2531999","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-30T10:30:00.000Z","LatLng(39.139, -122.219)","0.2382781","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-07T10:30:00.000Z","LatLng(39.139, -122.219)","0.2574324","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-15T10:30:00.000Z","LatLng(39.139, -122.219)","0.2535751","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-23T10:30:00.000Z","LatLng(39.139, -122.219)","0.2436575","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-01T10:30:00.000Z","LatLng(39.139, -122.219)","0.2032336","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-09T10:30:00.000Z","LatLng(39.139, -122.219)","0.1681355","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-17T10:30:00.000Z","LatLng(39.139, -122.219)","0.1416712","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-25T10:30:00.000Z","LatLng(39.139, -122.219)","0.1893175","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
