time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-03-06T10:30:00.000Z","LatLng(39.586, -122.4)","0.2389641","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-14T10:30:00.000Z","LatLng(39.586, -122.4)","0.2407919","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-22T10:30:00.000Z","LatLng(39.586, -122.4)","0.250285","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-30T10:30:00.000Z","LatLng(39.586, -122.4)","0.2396659","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-07T10:30:00.000Z","LatLng(39.586, -122.4)","0.2530996","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-15T10:30:00.000Z","LatLng(39.586, -122.4)","0.2527312","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-23T10:30:00.000Z","LatLng(39.586, -122.4)","0.2499811","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-01T10:30:00.000Z","LatLng(39.586, -122.4)","0.2072828","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-09T10:30:00.000Z","LatLng(39.586, -122.4)","0.1648907","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-17T10:30:00.000Z","LatLng(39.586, -122.4)","0.1322761","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-25T10:30:00.000Z","LatLng(39.586, -122.4)","0.202665","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-02T10:30:00.000Z","LatLng(39.586, -122.4)","0.306399409","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-10T10:30:00.000Z","LatLng(39.586, -122.4)","0.448860957","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-18T10:30:00.000Z","LatLng(39.586, -122.4)","0.593357266","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-26T10:30:00.000Z","LatLng(39.586, -122.4)","0.71476485","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-04T10:30:00.000Z","LatLng(39.586, -122.4)","0.787532453","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-12T10:30:00.000Z","LatLng(39.586, -122.4)","0.824919004","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-20T10:30:00.000Z","LatLng(39.586, -122.4)","0.841625936","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-28T10:30:00.000Z","LatLng(39.586, -122.4)","0.848925348","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-05T10:30:00.000Z","LatLng(39.586, -122.4)","0.846033399","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-13T10:30:00.000Z","LatLng(39.586, -122.4)","0.826875601","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-21T10:30:00.000Z","LatLng(39.586, -122.4)","0.811775264","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-29T10:30:00.000Z","LatLng(39.586, -122.4)","0.795225758","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-06T10:30:00.000Z","LatLng(39.586, -122.4)","0.768996272","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-14T10:30:00.000Z","LatLng(39.586, -122.4)","0.736491127","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-22T10:30:00.000Z","LatLng(39.586, -122.4)","0.698525761","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-30T10:30:00.000Z","LatLng(39.586, -122.4)","0.625504036","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-10-08T10:30:00.000Z","LatLng(39.586, -122.4)","0.529427268","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-10-16T10:30:00.000Z","LatLng(39.586, -122.4)","0.377426779","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-10-24T10:30:00.000Z","LatLng(39.586, -122.4)","0.303394983","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-06T10:30:00.000Z","LatLng(39.586, -122.4)","0.1951497","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-14T10:30:00.000Z","LatLng(39.586, -122.4)","0.2554994","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-22T10:30:00.000Z","LatLng(39.586, -122.4)","0.2762898","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-30T10:30:00.000Z","LatLng(39.586, -122.4)","0.2907819","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-07T10:30:00.000Z","LatLng(39.586, -122.4)","0.315892","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-15T10:30:00.000Z","LatLng(39.586, -122.4)","0.279366","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-23T10:30:00.000Z","LatLng(39.586, -122.4)","0.239118","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-01T10:30:00.000Z","LatLng(39.586, -122.4)","0.1954052","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-09T10:30:00.000Z","LatLng(39.586, -122.4)","0.2000828","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-17T10:30:00.000Z","LatLng(39.586, -122.4)","0.1627542","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
