time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2013-03-31T03:49:31.000Z","LatLng(39.48284, -122.06557)","0.136118616","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-03-31T03:49:54.000Z","LatLng(39.48284, -122.06557)","0.136541654","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-04-10T03:46:10.000Z","LatLng(39.48284, -122.06557)","0.132089497","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-04-17T03:47:29.000Z","LatLng(39.48284, -122.06557)","0.132170338","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-04-24T03:53:13.000Z","LatLng(39.48284, -122.06557)","0.112326171","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-04-24T03:53:37.000Z","LatLng(39.48284, -122.06557)","0.11237168199999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-05-26T03:53:30.000Z","LatLng(39.48284, -122.06557)","0.482800361","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-05-26T03:53:54.000Z","LatLng(39.48284, -122.06557)","0.48527264","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-06-04T03:47:43.000Z","LatLng(39.48284, -122.06557)","0.784092557","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-06-11T03:53:28.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-06-11T03:53:52.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-06-20T03:47:36.000Z","LatLng(39.48284, -122.06557)","0.7834018890000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-06-27T03:53:24.000Z","LatLng(39.48284, -122.06557)","0.838018756","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-06-27T03:53:48.000Z","LatLng(39.48284, -122.06557)","0.838112258","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-07-06T03:47:40.000Z","LatLng(39.48284, -122.06557)","0.835953223","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-07-13T03:53:27.000Z","LatLng(39.48284, -122.06557)","0.8818530509999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-07-13T03:53:50.000Z","LatLng(39.48284, -122.06557)","0.881744285","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-07-22T03:47:37.000Z","LatLng(39.48284, -122.06557)","0.828619067","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-07-29T03:53:27.000Z","LatLng(39.48284, -122.06557)","0.8580241190000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-07-29T03:53:51.000Z","LatLng(39.48284, -122.06557)","0.857915729","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-08-07T03:47:41.000Z","LatLng(39.48284, -122.06557)","0.770763121","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-08-14T03:53:27.000Z","LatLng(39.48284, -122.06557)","0.7585741690000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-08-14T03:53:51.000Z","LatLng(39.48284, -122.06557)","0.759390833","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-08-23T03:47:43.000Z","LatLng(39.48284, -122.06557)","0.71287995","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-08-30T03:53:30.000Z","LatLng(39.48284, -122.06557)","0.6975034040000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-08-30T03:53:54.000Z","LatLng(39.48284, -122.06557)","0.701471979","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-09-08T03:47:42.000Z","LatLng(39.48284, -122.06557)","0.640166085","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2013-09-15T03:53:26.000Z","LatLng(39.48284, -122.06557)","0.57905677","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
