time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-03-06T10:30:00.000Z","LatLng(38.732, -121.809)","0.2772614","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-14T10:30:00.000Z","LatLng(38.732, -121.809)","0.2790114","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-22T10:30:00.000Z","LatLng(38.732, -121.809)","0.3002933","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-03-30T10:30:00.000Z","LatLng(38.732, -121.809)","0.3020308","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-07T10:30:00.000Z","LatLng(38.732, -121.809)","0.2991888","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-15T10:30:00.000Z","LatLng(38.732, -121.809)","0.2896245","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-04-23T10:30:00.000Z","LatLng(38.732, -121.809)","0.2772997","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-01T10:30:00.000Z","LatLng(38.732, -121.809)","0.2546486","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-09T10:30:00.000Z","LatLng(38.732, -121.809)","0.2148392","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-17T10:30:00.000Z","LatLng(38.732, -121.809)","0.1620815","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-05-25T10:30:00.000Z","LatLng(38.732, -121.809)","0.08832145","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-02T10:30:00.000Z","LatLng(38.732, -121.809)","0.111342209","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-10T10:30:00.000Z","LatLng(38.732, -121.809)","0.162220011","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-18T10:30:00.000Z","LatLng(38.732, -121.809)","0.26277476","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-06-26T10:30:00.000Z","LatLng(38.732, -121.809)","0.414613679","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-04T10:30:00.000Z","LatLng(38.732, -121.809)","0.563739814","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-12T10:30:00.000Z","LatLng(38.732, -121.809)","0.68242192","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-20T10:30:00.000Z","LatLng(38.732, -121.809)","0.742872987","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-07-28T10:30:00.000Z","LatLng(38.732, -121.809)","0.772264907","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-05T10:30:00.000Z","LatLng(38.732, -121.809)","0.798036246","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-13T10:30:00.000Z","LatLng(38.732, -121.809)","0.807603108","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-21T10:30:00.000Z","LatLng(38.732, -121.809)","0.816760384","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-08-29T10:30:00.000Z","LatLng(38.732, -121.809)","0.811377096","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-06T10:30:00.000Z","LatLng(38.732, -121.809)","0.799023137","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-14T10:30:00.000Z","LatLng(38.732, -121.809)","0.777920956","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-22T10:30:00.000Z","LatLng(38.732, -121.809)","0.745239019","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-09-30T10:30:00.000Z","LatLng(38.732, -121.809)","0.706760706","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-10-08T10:30:00.000Z","LatLng(38.732, -121.809)","0.661046329","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-10-16T10:30:00.000Z","LatLng(38.732, -121.809)","0.586110056","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2018-10-24T10:30:00.000Z","LatLng(38.732, -121.809)","0.503677291","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-06T10:30:00.000Z","LatLng(38.732, -121.809)","0.1149496","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-14T10:30:00.000Z","LatLng(38.732, -121.809)","0.2236679","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-22T10:30:00.000Z","LatLng(38.732, -121.809)","0.226918","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-03-30T10:30:00.000Z","LatLng(38.732, -121.809)","0.2555659","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-07T10:30:00.000Z","LatLng(38.732, -121.809)","0.3130789","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-15T10:30:00.000Z","LatLng(38.732, -121.809)","0.3177346","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-04-23T10:30:00.000Z","LatLng(38.732, -121.809)","0.3024535","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-01T10:30:00.000Z","LatLng(38.732, -121.809)","0.2582333","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-09T10:30:00.000Z","LatLng(38.732, -121.809)","0.2474477","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-17T10:30:00.000Z","LatLng(38.732, -121.809)","0.2177015","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-05-25T10:30:00.000Z","LatLng(38.732, -121.809)","0.1593002","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-02T10:30:00.000Z","LatLng(38.732, -121.809)","0.150868938","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-10T10:30:00.000Z","LatLng(38.732, -121.809)","0.16886351","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-18T10:30:00.000Z","LatLng(38.732, -121.809)","0.223394105","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-06-26T10:30:00.000Z","LatLng(38.732, -121.809)","0.321671271","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-04T10:30:00.000Z","LatLng(38.732, -121.809)","0.474608544","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-12T10:30:00.000Z","LatLng(38.732, -121.809)","0.60229514","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-20T10:30:00.000Z","LatLng(38.732, -121.809)","0.683303954","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-07-28T10:30:00.000Z","LatLng(38.732, -121.809)","0.745232516","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-05T10:30:00.000Z","LatLng(38.732, -121.809)","0.783876727","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-13T10:30:00.000Z","LatLng(38.732, -121.809)","0.812561593","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-21T10:30:00.000Z","LatLng(38.732, -121.809)","0.817557414","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-08-29T10:30:00.000Z","LatLng(38.732, -121.809)","0.814458581","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-06T10:30:00.000Z","LatLng(38.732, -121.809)","0.797442419","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-14T10:30:00.000Z","LatLng(38.732, -121.809)","0.780093606","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-22T10:30:00.000Z","LatLng(38.732, -121.809)","0.756186698","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-09-30T10:30:00.000Z","LatLng(38.732, -121.809)","0.729152977","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-10-08T10:30:00.000Z","LatLng(38.732, -121.809)","0.698969258","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-10-16T10:30:00.000Z","LatLng(38.732, -121.809)","0.656657345","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2019-10-24T10:30:00.000Z","LatLng(38.732, -121.809)","0.577500481","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-05T10:30:00.000Z","LatLng(38.732, -121.809)","0.2902894","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-13T10:30:00.000Z","LatLng(38.732, -121.809)","0.301529","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-21T10:30:00.000Z","LatLng(38.732, -121.809)","0.2867622","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-03-29T10:30:00.000Z","LatLng(38.732, -121.809)","0.278505","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-04-06T10:30:00.000Z","LatLng(38.732, -121.809)","0.2636546","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-04-14T10:30:00.000Z","LatLng(38.732, -121.809)","0.2425617","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-04-22T10:30:00.000Z","LatLng(38.732, -121.809)","0.2322583","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
"2020-04-30T10:30:00.000Z","LatLng(38.732, -121.809)","0.2073197","Normal","Invalid DateTime","JAXA","GCOM-C SGLI","Blue","SGLI L2 Reflectance 8-day composited"
